路線（片道）,150%,125%,100%,70%,50%,30%,アジアオセアニアFLG
シアトル,7162,5968,4775,3342,2387,1432,
サンフランシスコ,7695,6412,5130,3591,2565,1539,
サンノゼ,7743,6452,5162,3613,2581,1548,
ロサンゼルス,8187,6822,5458,3820,2729,1637,
ヒューストン,9987,8322,6658,4660,3329,1997,
シカゴ,9424,7853,6283,4398,3141,1884,
ニューヨーク,10109,8424,6739,4717,3370,2022,
ワシントンD.C.,10143,8452,6762,4733,3381,2028,
ホノルル,5746,4788,3831,2681,1915,1149,
バンクーバー,7021,5851,4681,3276,2340,1404,
メキシコシティ,10504,8753,7003,4902,3501,2100,
ロンドン,9330,7775,6220,4354,3110,1866,
フランクフルト,8893,7411,5929,4150,2964,1778,
ミュンヘン,8799,7332,5866,4106,2933,1759,
デュッセルドルフ,8938,7448,5959,4171,2979,1787,
パリ,9310,7758,6207,4344,3103,1862,
ブリュッセル,9101,7584,6067,4247,3034,1820,
ウィーン,8548,7123,5699,3989,2849,1709,
ウラジオストク,1014,845,676,473,338,202,
イスタンブール,8622,7185,5748,4023,2874,1724,
モスクワ,6996,5830,4664,3264,2332,1399,
ミラノ,9117,7597,6078,4254,3039,1823,
ストックホルム,8158,6798,5439,3807,2719,1631,
上海,1666,1388,1111,777,555,333,1.0
北京,1969,1641,1313,919,656,393,1.0
香港,2734,2278,1823,1276,911,546,1.0
広州,2733,2277,1822,1275,911,546,1.0
大連,1563,1302,1042,729,521,312,1.0
青島,1675,1396,1117,781,558,335,1.0
厦門,2280,1900,1520,1064,760,456,1.0
杭州,1809,1507,1206,844,603,361,1.0
瀋陽,1480,1233,987,690,493,296,1.0
成都,3150,2625,2100,1470,1050,630,1.0
武漢,2295,1912,1530,1071,765,459,1.0
深セン,2719,2266,1813,1269,906,543,1.0
ソウル,1137,947,758,530,379,227,1.0
台北,1995,1662,1330,931,665,399,1.0
シンガポール,4968,4140,3312,2318,1656,993,1.0
ジャカルタ,5418,4515,3612,2528,1806,1083,1.0
バンコク,4303,3586,2869,2008,1434,860,1.0
ホーチミンシティ,4059,3382,2706,1894,1353,811,1.0
ハノイ,3441,2867,2294,1605,1147,688,1.0
マニラ,2820,2350,1880,1316,940,564,1.0
クアラルンプール,5018,4181,3345,2342,1673,1004,1.0
ヤンゴン,4476,3730,2984,2088,1492,895,1.0
デリー,5484,4570,3656,2559,1828,1096,1.0
ムンバイ,6301,5251,4201,2940,2100,1260,1.0
プノンペン,4138,3448,2759,1931,1379,827,1.0
チェンナイ,6025,5021,4017,2811,2008,1205,1.0
シドニー,7294,6078,4863,3404,2431,1458,1.0
パース,7389,6157,4926,3448,2463,1477,1.0
